startDATA metal1 71 71	
	 -0.3470930662 -0.3642027493 -0.3813124324 -0.3984221155 -0.4155317986 -0.4326414817 -0.4506028885 -0.4723279297 -0.4872538923 -0.5202620779 -0.5532702635 -0.5862784492 -0.6196222572 -0.651274572 -0.6829268867 -0.7145792015 -0.7462315163 -0.7778838311 -0.8095361459 -0.8338640763 -0.8645833818 -0.9026405458 -0.9370888119 -0.9712049937 -1.009135251 -1.047065509 -1.081504485 -1.093886043 -1.1062676 -1.118649158 -1.138194375 -1.161236463 -1.014693475e-10 -5.083826125e-11 -2.071751245e-13 5.0423911e-11 3.857608358e-11 4.147127212e-11 4.436646055e-11 1.16100628 1.138133756 1.115261233 1.097672333 1.078972752 1.05954142 1.040110087 1.013870226 0.9799740571 0.9460778887 0.9121817202 0.877619158 0.8400568808 0.8059056645 0.7717544481 0.7430339642 0.70828695 0.5889540782 0.572711843 0.5564696078 0.5402273725 0.5239851373 0.5077429021 0.4915006669 0.4752584317 0.4590161965 0.4427739612 0.426531726 0.4102894908 0.3940472556 0.3778050204 0.3615627851
	 -0.3363826857 -0.3534923688 -0.3706020519 -0.387711735 -0.4048214182 -0.4138763089 -0.4356013502 -0.4573263914 -0.4790514326 -0.5056051277 -0.5386133134 -0.571621499 -0.6046296847 -0.6376378703 -0.670646056 -0.7036542416 -0.7366624273 -0.7696706129 -0.8025303889 -0.8553738657 -0.853795416 -0.9100599966 -0.9492394405 -0.9884188844 -1.021708058 -1.059638315 -1.099705174 -1.133591057 -1.156633145 -1.179675233 -1.203680108 -1.228870383 -4.098630907e-11 -7.042538942e-12 -4.147350459e-12 -1.252161975e-12 1.643026522e-12 4.538215019e-12 8.615849462e-11 1.21264552 1.198230414 1.156845718 1.142789209 1.11630089 1.08981257 1.067799564 1.033313644 0.9988277236 0.9643418034 0.9243442608 0.8904480924 0.8536514447 0.8108156884 0.776664472 0.7243568763 0.6715672241 0.6419487214 0.5667389895 0.5485026772 0.5302663649 0.5120300526 0.4937937403 0.475557428 0.4573211156 0.4390848033 0.420848491 0.4026121787 0.3843758664 0.3661395541 0.3479032418 0.3296669295
	 -0.3256723053 -0.3427819884 -0.3598916715 -0.3770013546 -0.3941110377 -0.3988747706 -0.4205998118 -0.442324853 -0.4640498942 -0.4857749354 -0.5239563632 -0.5569645489 -0.5899727345 -0.6151879931 -0.6459544636 -0.6767209342 -0.7074874047 -0.7598124964 -0.8030498048 -0.8235342029 -0.8663070083 -0.9221171246 -0.9608542856 -0.9995914466 -1.038328608 -1.06965433 -1.144512676 -1.219371022 -1.23520751 -1.275092876 -1.314978242 -1.354863608 1.003071768e-10 1.032023653e-10 1.060975538e-10 1.089927423e-10 -9.161526198e-11 -1.171373338e-10 -1.426594056e-10 1.342881246 1.301358712 1.259836179 1.218313645 1.176791112 1.135268578 1.126893337 1.038574997 1.004089077 0.9696031563 0.9351172361 0.9006313159 0.8614312134 0.7988210849 0.7454783345 0.6868063626 0.6571878599 0.6275693573 0.5979508546 0.5683323519 0.5387138492 0.5090953465 0.4608454549 0.4426091426 0.4243728303 0.4061365179 0.3879002056 0.3696638933 0.351427581 0.3331912687 0.3149549564 0.3181476082
	 -0.3149619248 -0.3320716079 -0.349181291 -0.3662909741 -0.362148191 -0.3838732322 -0.4055982734 -0.4273233146 -0.4490483558 -0.4591001326 -0.473090876 -0.5235562753 -0.5543227458 -0.5850892163 -0.6158556869 -0.6466221574 -0.6727394861 -0.7159767945 -0.7592141029 -0.8024514112 -0.8344673454 -0.8772401508 -0.9904388332 -1.029175994 -1.052504381 -1.127362727 -1.202221073 -1.294915011 -1.362906738 -1.430898465 -1.498890192 -1.566881919 8.657933464e-11 6.105726288e-11 3.553519107e-11 1.001311923e-11 -1.550895256e-11 -8.305956578e-11 -7.925597313e-11 1.552666506 1.481096019 1.403103449 1.321304105 1.279781572 1.223760894 1.164075828 1.044567583 1.009897654 0.9857959668 0.909403716 0.8686827996 0.8102462932 0.7518097868 0.6889118246 0.6516415571 0.6284300901 0.605218623 0.5835714904 0.5539529877 0.524334485 0.4947159824 0.4650974797 0.435478977 0.4058604743 0.3762419716 0.358271559 0.3487111038 0.3391506486 0.3295901934 0.3200297382 0.310469283
	 -0.3042515443 -0.3213612275 -0.3384709106 -0.3254216114 -0.3471466526 -0.3652893189 -0.3792800624 -0.3932708058 -0.4072615493 -0.4212522927 -0.4352430362 -0.4492337796 -0.4632245231 -0.5549904396 -0.5424291674 -0.5856664758 -0.6289037842 -0.6721410926 -0.715378401 -0.7586157094 -0.8018530177 -0.845400488 -0.878809191 -1.03567747 -1.110714768 -0.9654248814 -1.264606169 -1.409898578 -1.555190987 -1.700483396 -1.845775805 -1.991068214 1.461175085e-10 4.252476373e-11 1.723910768e-11 3.742597007e-11 4.122956268e-11 -1.215237586e-10 -1.266435481e-10 1.896697913 1.794279954 1.691861996 1.589444037 1.487026079 1.372052051 1.137783637 0.9012185462 0.9692135962 0.9322075315 0.8737710251 0.8153345187 0.7568980122 0.6581100959 0.6352937753 0.6124774547 0.5896611341 0.5668448135 0.5374829422 0.5142714752 0.4910600081 0.4803366182 0.4507181155 0.4210996128 0.3914811101 0.3618626075 0.3505932338 0.3410327786 0.3314723233 0.3219118681 0.3123514129 0.3027909577
	 -0.2666421106 -0.2735705133 -0.2768814781 -0.2908722215 -0.304862965 -0.3188537084 -0.3328444519 -0.3468351953 -0.3608259388 -0.3748166822 -0.3888074257 -0.4027981692 -0.4167889126 -0.5159698833 -0.5314699132 -0.5236219972 -0.5610239923 -0.5984259873 -0.6358279824 -0.6732299774 -0.7106319725 -0.7480339675 -0.7604894308 -0.8501910486 -1.188300778 -0.7391304893 -1.009745185 -1.280359882 -1.550974578 -1.973600889 -2.38224623 -2.790891572 -0.03554049781 -0.03554049781 -0.05979172174 -0.0213023156 -0.0213023156 0.02299507729 0.02299507729 2.553770029 2.312295452 2.070820874 1.829346297 1.587871719 1.346397142 1.069375431 0.7924189554 0.5154624797 0.8216326063 0.8204227441 0.7619862377 0.7035497313 0.6044920466 0.581675726 0.5588594053 0.5360430847 0.5132267641 0.4904104435 0.4675941229 0.4465357944 0.4233243273 0.4001128602 0.3769013932 0.377101746 0.3474832433 0.3429149085 0.3333544533 0.2932531002 0.2778995923 0.2625460844 0.2471925765
	 -0.2156523208 -0.2231985345 -0.2307447482 -0.2325898669 -0.2465806104 -0.2605713538 -0.2745620973 -0.2885528407 -0.3025435842 -0.3165343276 -0.3305250711 -0.3445158145 -0.358506558 -0.4281534099 -0.4436534399 -0.4591534698 -0.4746534998 -0.5092718111 -0.5466738062 -0.5840758012 -0.5996528546 -0.6229706613 -0.6530429535 -0.6792992639 -0.8985588614 -0.865117531 -0.8316762006 -0.7982348703 -0.7647935399 -0.7953961548 -1.066010851 -1.336625547 -0.3717137451 -0.5721551636 -0.3111609818 -0.09032943983 0.05521042706 0.2212720898 0.3676553606 1.419974941 1.333971599 1.238401165 1.142830731 1.047260297 0.9516898625 0.8561194284 0.7605489943 0.3900209229 0.6826178289 0.640517851 0.572954147 0.5699824437 0.5461861026 0.5223897615 0.4985934204 0.4747970793 0.4510007382 0.427204397 0.4034080559 0.3796117148 0.3451054461 0.3396177519 0.3146680433 0.3230065011 0.3115291758 0.2912396869 0.275886179 0.2605326711 0.2169729739 0.2088986678 0.2008243617
	 -0.165280342 -0.1728265557 -0.1803727694 -0.1879189831 -0.1882982557 -0.2022889992 -0.2162797427 -0.2302704861 -0.2442612296 -0.258251973 -0.2722427165 -0.2862334599 -0.3248369066 -0.3403369366 -0.3558369665 -0.3713369965 -0.3868370264 -0.3988613097 -0.405127838 -0.4621340851 -0.4854518918 -0.5087696985 -0.4821511688 -0.5084074792 -0.6088169447 -0.5753756143 -0.5419342839 -0.5084929536 -0.4877900628 -0.4416829598 -0.3955758568 -0.3494687539 -0.5528467326 -0.451382028 -0.2733932501 -0.1278533832 0.01768648372 0.1632263506 0.3087662175 0.4543060844 0.6418100809 0.638110802 0.5425403679 0.4469699338 0.5803560326 0.5900067498 0.599657467 0.6093081843 0.5074207186 0.4971084688 0.486796219 0.4764839692 0.4479687643 0.4241724232 0.4003760821 0.376579741 0.3527833999 0.3289870588 0.3051907177 0.2879597736 0.2704910876 0.2859332261 0.272377481 0.2425678457 0.2340435725 0.2732677954 0.1239181675 0.1983473142 0.1902730081 0.182198702 0.1741243959
	 -0.1149083632 -0.1224545769 -0.1300007906 -0.1375470043 -0.145093218 -0.1440066446 -0.157997388 -0.1719881315 -0.185978875 -0.1999696184 -0.2139603619 -0.2279511053 -0.2370204333 -0.2525204632 -0.2680204932 -0.2774543598 -0.2837208881 -0.2899874165 -0.2962539448 -0.3025204731 -0.3087870014 -0.3150535297 -0.3112593841 -0.3691428328 -0.3693911083 -0.3324566262 -0.3013253686 -0.2892274788 -0.2771295891 -0.2650316993 -0.2529338096 -0.2408359198 -0.3787491529 -0.2776046548 -0.1764601568 -0.07531565868 0.0258288394 0.1269733375 0.2281178356 0.1600558516 0.3306382413 0.2970908308 0.3476862496 0.3557439632 0.3855341118 0.4153242604 0.445114409 0.3535198884 0.3539156993 0.3651731396 0.3548608898 0.34454864 0.3342363902 0.3239241404 0.3021587439 0.2783624027 0.2545660616 0.2482827872 0.2308141012 0.2197899684 0.2062342233 0.1926784781 0.2145516149 0.2169593653 0.1979393472 0.2030352375 0.07711742501 0.0852900468 0.09346266859 0.1016352904 0.1474244301
